"Institution ID", "Station ID"
"721","GHCND:USC00050756"
"5","GHCND:USC00338062"
"8","GHCND:USC00018385"
"9","GHCND:USW00013876"
"29","GHCND:USW00023160"
"28","GHCND:USW00023183"
"31","GHCND:USR0000ASTK"
"30","GHCND:USC00033734"
"725","GHCND:USR0000NSTO"
"37","GHCND:USW00013895"
"47","GHCND:USC00126023"
"51","GHCND:USC00419417"
"66","GHCND:USC00101024"
"67","GHCND:USC00193890"
"71","GHCND:USW00094830"
"86","GHCND:USC00301011"
"77","GHCND:USR0000PLGV"
"107","GHCND:USR0000COKN"
"96","GHCND:USW00093193"
"110","GHCND:USW00023174"
"128","GHCND:USW00012815"
"129","GHCND:USC00388405"
"140","GHCND:USC00331515"
"147","GHCND:USC00387687"
"157","GHCND:USR0000CBDR"
"156","GHCND:USR0000CRDS"
"164","GHCND:USC00064767"
"193","GHCND:USW00013722"
"204","GHCND:USC00200228"
"196","GHCND:USC00319440"
"231","GHCND:USC00085667"
"235","GHCND:USW00012816"
"229","GHCND:USC00083168"
"234","GHCND:USW00093805"
"257","GHCND:USW00013873"
"255","GHCND:USW00013874"
"277","GHCND:USW00022521"
"288","GHCND:USW00012918"
"295","GHCND:USR0000IPOT"
"301","GHCND:USC00116344"
"306","GHCND:USC00120784"
"312","GHCND:USC00134101"
"311","GHCND:USC00130203"
"328","GHCND:USC00141612"
"327","GHCND:USC00144972"
"331","GHCND:USC00338062"
"334","GHCND:USW00093820"
"365","GHCND:USC00160548"
"366","GHCND:USC00160277"
"671","GHCND:USC00160007"
"498","GHCND:USC00169631"
"367","GHCND:USC00154955"
"388","GHCND:USW00003860"
"392","GHCND:USW00013743"
"400","GHCND:USC00190120"
"404","GHCND:USC00405956"
"415","GHCND:USC00083909"
"414","GHCND:USW00093815"
"418","GHCND:USC00200228"
"416","GHCND:USW00014836"
"419","GHCND:USC00406371"
"428","GHCND:USC00214884"
"433","GHCND:USC00229400"
"430","GHCND:USC00228374"
"434","GHCND:USW00013883"
"726","GHCND:USC00188557"
"463","GHCND:USW00014939"
"466","GHCND:USW00023185"
"465","GHCND:USW00023169"
"473","GHCND:USW00023050"
"472","GHCND:USC00298535"
"457","GHCND:USC00311677"
"490","GHCND:USW00013722"
"497","GHCND:USC00412404"
"503","GHCND:USC00112223"
"509","GHCND:USC00111497"
"513","GHCND:USC00128437"
"519","GHCND:USR0000OZAL"
"518","GHCND:USW00014821"
"522","GHCND:USC00346386"
"521","GHCND:USC00348501"
"529","GHCND:USW00024221"
"528","GHCND:USR0000OFIN"
"539","GHCND:USC00368449"
"545","GHCND:USC00362574"
"559","GHCND:USC00129430"
"574","GHCND:USW00012918"
"587","GHCND:USC00286055"
"626","GHCND:USW00023188"
"630","GHCND:USC00046646"
"646","GHCND:USC00012813"
"648","GHCND:USW00013883"
"651","GHCND:USW00012842"
"657","GHCND:USW00023174"
"663","GHCND:USW00013960"
"664","GHCND:USC00223888"
"674","GHCND:USC00046646"
"688","GHCND:USW00014771"
"698","GHCND:USW00093904"
"690","GHCND:USC00366886"
"694","GHCND:USW00013891"
"703","GHCND:USC00410431"
"697","GHCND:USW00003904"
"670","GHCND:USC00416273"
"700","GHCND:USW00023042"
"704","GHCND:USW00023044"
"706","GHCND:USC00417947"
"709","GHCND:USW00094830"
"716","GHCND:USC00011725"
"718","GHCND:USC00166676"
"719","GHCND:USW00013968"
"732","GHCND:USW00024127"
"731","GHCND:USC00425182"
"736","GHCND:USC00406403"
"746","GHCND:USC00441593"
"742","GHCND:USC00440766"
"749","GHCND:USC00316686"
"756","GHCND:USW00024233"
"754","GHCND:USW00024149"
"768","GHCND:USC00466212"
"772","GHCND:USC00150904"
"774","GHCND:USC00200864"
"796","GHCND:USC00471416"
"811","GHCND:USC00485435"
